Date,Open,High,Low,Close,Volume
2025-01-01,101.02,101.17,98.68,100.37,1965417
2025-01-02,99.23,99.61,98.29,99.12,1372766
2025-01-03,99.81,101.02,99.57,100.02,1303840
2025-01-06,101.7,102.76,100.97,101.15,1509478
2025-01-07,99.02,99.15,98.55,98.81,2114420
2025-01-08,98.01,99.49,97.08,97.24,1333462
2025-01-09,97.49,98.23,97.19,97.4,2811181
2025-01-10,96.4,97.84,95.4,97.02,1855699
2025-01-13,96.31,97.2,95.61,97.0,2699200
2025-01-14,96.8,97.64,95.31,95.97,2303168
2025-01-15,97.89,97.9,96.64,97.03,1533375
2025-01-16,97.87,99.29,97.32,97.96,1302156
2025-01-17,97.85,98.9,97.55,98.04,2436677
2025-01-20,100.12,100.97,97.36,99.39,1527618
2025-01-21,99.4,100.51,99.31,99.95,1343108
2025-01-22,98.48,101.25,98.17,98.92,2846846
2025-01-23,99.69,99.89,98.61,99.37,1861785
2025-01-24,98.02,100.22,96.99,98.22,906852
2025-01-27,99.27,100.87,98.02,99.27,1888488
2025-01-28,99.13,99.67,98.24,99.21,1813693
2025-01-29,99.16,99.26,98.92,98.99,2700730
2025-01-30,98.87,100.18,97.84,98.17,2365427
2025-01-31,99.68,101.29,99.59,99.64,1220985
2025-02-03,99.77,101.03,98.69,99.45,1130998
2025-02-04,97.91,100.54,97.01,98.94,2127908
2025-02-05,98.49,99.31,97.75,98.52,904222
2025-02-06,98.73,99.59,98.57,99.15,1501835
2025-02-07,98.98,100.12,98.33,99.59,1104051
2025-02-10,99.65,100.36,99.1,100.09,845236
2025-02-11,100.44,102.02,100.25,100.61,2821411
2025-02-12,103.63,105.94,101.73,103.18,997605
2025-02-13,102.02,102.74,101.96,102.69,820371
2025-02-14,102.09,102.56,101.81,102.07,2852362
2025-02-17,100.85,101.56,99.95,101.1,1214308
2025-02-18,101.67,102.54,101.48,101.84,2596427
2025-02-19,103.69,103.83,101.74,103.19,868823
2025-02-20,103.32,104.08,101.72,103.05,1137823
2025-02-21,102.71,102.94,100.8,102.05,1043384
2025-02-24,100.98,101.59,100.73,101.06,2353778
2025-02-25,101.49,102.54,101.13,101.84,2164328
2025-02-26,102.62,102.91,100.21,102.73,1846104
2025-02-27,103.5,103.7,102.22,103.38,1331605
2025-02-28,102.67,103.49,102.29,102.58,995491
2025-03-03,102.32,103.25,101.25,102.86,2052266
2025-03-04,103.05,103.57,102.29,103.0,1307571
2025-03-05,103.38,103.64,101.27,103.26,2098429
2025-03-06,105.57,105.68,103.13,104.31,2312429
2025-03-07,105.52,106.34,103.74,104.58,2668757
2025-03-10,104.96,107.38,104.73,105.39,1886766
2025-03-11,105.33,106.77,103.72,105.47,810431
2025-03-12,105.09,107.3,103.87,105.82,1417467
2025-03-13,106.28,108.91,106.03,106.58,2677412
2025-03-14,104.99,105.66,103.01,104.83,1973152
2025-03-17,105.05,105.8,102.79,104.44,2162061
2025-03-18,103.52,104.17,102.23,103.88,1807211
2025-03-19,102.79,103.31,102.36,103.11,1158035
2025-03-20,101.71,103.87,101.19,102.78,2772748
2025-03-21,104.5,105.91,103.68,104.58,2500462
2025-03-24,103.01,103.61,102.77,103.54,2989403
2025-03-25,104.44,106.05,102.66,104.7,2682081
2025-03-26,102.24,102.77,101.73,102.68,1440493
2025-03-27,102.23,103.12,101.65,102.28,1359379
2025-03-28,101.6,103.07,100.32,102.47,1346643
2025-03-31,102.44,104.66,101.82,103.18,2821346
2025-04-01,105.1,105.98,103.39,104.03,2025257
2025-04-02,104.34,105.34,103.8,104.98,1799806
2025-04-03,104.02,105.37,103.25,104.57,2930175
2025-04-04,104.93,106.65,103.56,104.01,2127533
2025-04-07,106.49,107.87,103.35,105.04,2800750
2025-04-08,104.22,105.2,103.69,104.81,2966228
2025-04-09,103.1,104.32,102.06,103.28,974780
2025-04-10,102.09,102.56,101.68,101.92,1595379
2025-04-11,101.68,101.81,99.39,100.82,2415106
2025-04-14,100.92,103.24,100.47,101.41,2588950
2025-04-15,101.46,102.51,100.65,101.58,1126666
2025-04-16,102.8,103.41,101.13,102.41,1500478
2025-04-17,102.12,102.65,101.19,101.9,2005980
2025-04-18,101.9,103.16,101.66,102.09,2558269
2025-04-21,102.77,103.49,102.16,102.84,1048527
2025-04-22,101.78,102.9,100.33,102.47,2121614
2025-04-23,102.9,103.21,102.46,103.02,1452174
2025-04-24,102.09,102.55,102.06,102.22,1275982
2025-04-25,101.9,102.27,101.52,101.79,1933878
2025-04-28,101.05,102.65,100.43,101.33,1710857
2025-04-29,100.13,100.47,99.42,99.89,2198564
2025-04-30,100.99,102.46,99.95,100.48,1498798
2025-05-01,99.99,101.06,99.5,99.92,2611207
2025-05-02,100.11,100.44,98.57,99.93,971838
2025-05-05,100.53,101.65,99.47,100.51,2696134
2025-05-06,101.04,101.43,98.63,101.04,865636
2025-05-07,101.48,101.97,99.87,101.84,2418970
2025-05-08,101.88,102.23,99.17,101.72,1562253
2025-05-09,101.17,103.17,100.76,101.22,1643336
2025-05-12,102.17,104.24,99.18,101.12,841875
2025-05-13,99.88,99.95,98.78,99.09,2344620
2025-05-14,97.55,97.71,97.07,97.36,1164073
2025-05-15,95.39,96.85,95.2,95.77,2250144
2025-05-16,94.02,95.42,92.9,94.57,2395403
2025-05-19,95.65,95.98,94.47,95.05,2659524
2025-05-20,94.1,94.12,93.44,93.97,2357800
2025-05-21,93.75,94.07,92.02,93.51,1463300
2025-05-22,94.2,95.91,93.5,95.07,2424876
2025-05-23,95.11,96.7,92.59,94.65,2617090
2025-05-26,95.76,97.83,95.36,95.53,1497736
2025-05-27,93.85,95.53,93.52,94.41,1073189
2025-05-28,93.93,94.62,93.79,94.16,2758042
2025-05-29,93.16,93.45,92.41,93.02,1125467
2025-05-30,92.64,94.58,90.89,92.62,2106427
2025-06-02,93.48,94.73,93.31,93.63,1319817
2025-06-03,91.5,92.51,91.11,91.55,1077257
2025-06-04,91.95,92.42,90.1,92.07,2508113
2025-06-05,92.44,92.84,92.18,92.36,1116181
2025-06-06,92.38,92.67,89.98,91.65,2274496
2025-06-09,88.63,90.1,87.52,89.91,2324809
2025-06-10,89.88,90.62,89.29,90.0,932501
2025-06-11,89.45,89.79,89.04,89.36,1180476
2025-06-12,89.79,90.85,88.77,89.64,2547599
2025-06-13,89.48,90.81,89.3,89.67,1916043
2025-06-16,90.71,91.6,89.5,91.59,1066974
2025-06-17,91.47,94.06,90.98,91.3,2981903
2025-06-18,90.94,91.16,88.38,90.07,1382973
2025-06-19,89.52,91.72,89.5,90.29,808816
2025-06-20,90.98,91.08,89.65,90.55,2833165
2025-06-23,92.02,92.76,91.68,92.18,836475
2025-06-24,93.16,93.24,93.07,93.19,2017388
2025-06-25,93.09,93.78,91.38,93.61,2984786
2025-06-26,95.2,96.15,93.59,95.37,2071180
2025-06-27,94.59,95.02,93.46,93.94,2086205
